City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chilecito,-29.165,-67.4954,20.53,64,1,5.06,AR,-10800
1,ushuaia,-54.8061,-68.3185,6.83,81,0,7.2,AR,-10800
2,adamstown,-25.0667,-130.1002,20.91,76,100,5.24,PN,-28800
3,grytviken,-54.2806,-36.5098,0.45,80,10,6.25,GS,-7200
4,edinburgh of the seven seas,-37.0676,-12.3108,12.56,70,97,6.71,SH,0
5,fortuna,40.5974,-124.156,11.75,93,0,5.14,US,-28800
6,college,45.3266,-75.8386,2.01,70,75,3.09,CA,-18000
7,stanley,-51.6977,-57.8517,7.37,79,23,16.93,FK,-10800
8,port glaud,-4.6641,55.4178,24.87,88,20,1.54,SC,14400
9,olonkinbyen,70.9224,-8.716,0.02,99,100,6.47,SJ,3600
10,bredasdorp,-34.5331,20.0428,13.21,56,100,7.05,ZA,7200
11,georgetown,6.8137,-58.1624,27.12,81,75,3.43,GY,-14400
12,alice springs,-23.6984,133.8813,30.75,25,100,5.66,AU,34200
13,verkhniy baskunchak,48.2293,46.723,0.58,68,60,4.04,RU,14400
14,margaret river,-33.9532,115.0769,17.52,54,25,3.49,AU,28800
15,hassi messaoud,31.6957,6.0604,20.82,52,40,4.12,DZ,3600
16,port elizabeth,-33.9617,25.6208,15.08,94,100,7.72,ZA,7200
17,port-aux-francais,-49.3498,70.22,4.82,87,54,13.59,TF,18000
18,papatowai,-46.5619,169.4708,14.87,59,100,4.11,NZ,46800
19,san patricio,27.9695,-97.7732,26.4,80,100,7.83,US,-21600
20,longyearbyen,78.2232,15.6464,-0.85,69,40,4.12,SJ,3600
21,ilulissat,69.2197,-51.0986,-2.84,68,75,7.72,GL,-7200
22,fuvahmulah,-0.2948,73.4241,27.67,71,50,4.62,MV,18000
23,tura,47.39,0.6889,9.62,93,100,3.09,FR,3600
24,albany,42.6512,-73.755,3.4,74,0,0.0,US,-18000
25,puerto natales,-51.7262,-72.506,3.68,87,25,3.45,CL,-10800
26,walvis bay,-22.9543,14.5075,13.94,88,3,0.0,NA,7200
27,barra de santo antonio,-9.4038,-35.5118,24.3,72,4,5.19,BR,-10800
28,mabaruma,8.2037,-59.7849,25.18,88,78,1.03,GY,-14400
29,harper,41.3625,-92.051,17.08,95,100,4.69,US,-21600
30,invercargill,-46.4118,168.3471,16.68,61,100,4.92,NZ,46800
31,saurimo,-9.6589,20.3981,17.04,95,100,0.16,AO,3600
32,kushiro,42.985,144.382,7.55,81,75,1.54,JP,32400
33,waitangi,-35.2705,174.0805,17.32,52,62,4.2,NZ,46800
34,hawaiian paradise park,19.585,-154.9731,25.97,83,75,2.57,US,-36000
35,lundazi,-12.2927,33.1742,21.33,60,25,2.02,ZM,7200
36,island harbour,49.6,-54.3,3.36,53,100,11.49,CA,-12600
37,al jahra',29.3475,47.6722,24.68,57,6,3.28,KW,10800
38,blackmans bay,-43.0047,147.318,18.13,51,74,0.89,AU,39600
39,yeniseysk,58.4532,92.1748,2.49,94,100,4.1,RU,25200
40,mumbwa,-14.985,27.0614,18.76,83,30,2.03,ZM,7200
41,rio gallegos,-51.6461,-69.2632,12.04,47,0,7.72,AR,-10800
42,bethel,60.7922,-161.7558,-1.97,93,100,4.12,US,-32400
43,santa cruz,28.4696,-16.2541,22.52,94,100,2.06,ES,0
44,port mathurin,-19.6808,63.4221,24.12,74,52,6.94,MU,14400
45,xilin hot,43.9312,116.0789,-2.15,40,1,4.49,CN,28800
46,luau,-10.7026,22.2275,17.1,90,95,0.64,AO,3600
47,okhotsk,59.3644,143.2411,-7.35,64,100,6.02,RU,36000
48,hamilton,43.2561,-79.8729,9.89,78,40,7.72,CA,-18000
49,bonthe,7.5273,-12.502,25.95,84,32,1.38,SL,0
50,'ibri,23.2179,56.4922,25.23,35,0,2.66,OM,14400
51,lycksele,64.6,18.1667,-6.92,77,58,4.14,SE,3600
52,shahba,32.8529,36.6299,11.9,88,31,4.06,SY,10800
53,taoudenni,22.6762,-3.9805,26.44,15,1,2.57,ML,0
54,levuka,-17.6807,178.8334,24.13,76,23,7.85,FJ,43200
55,codrington,51.5082,-2.3937,10.31,89,4,0.45,GB,0
56,isafjordur,66.0727,-23.1194,4.63,98,100,4.91,IS,0
57,canyon lake,33.6837,-117.2626,16.41,61,0,3.6,US,-28800
58,shangri-la,27.8453,99.7415,10.43,52,11,1.28,CN,28800
59,sinabang,2.4795,96.3806,27.21,78,100,0.78,ID,25200
60,ostseebad kuhlungsborn,54.1484,11.7442,11.08,87,2,5.77,DE,3600
61,carnarvon,-24.8826,113.6576,22.73,63,6,7.43,AU,28800
62,indianola,33.451,-90.6551,23.85,63,100,5.05,US,-21600
63,nizhniy kuranakh,58.8191,125.5293,-9.54,92,100,1.08,RU,32400
64,klyuchi,56.3182,160.8422,-2.19,91,92,2.0,RU,43200
65,hobyo,5.3495,48.5264,26.19,81,34,4.13,SO,10800
66,broome,-17.9567,122.224,31.94,66,100,6.69,AU,28800
67,utrik,11.2475,169.7876,26.51,83,100,3.72,MH,43200
68,qaqortoq,60.7182,-46.0385,-1.06,75,2,11.58,GL,-7200
69,acarau,-2.887,-40.1195,25.19,78,78,8.39,BR,-10800
70,manokwari,-0.8614,134.0767,28.58,71,45,3.14,ID,32400
71,paka,4.6369,103.436,27.96,83,20,1.54,MY,28800
72,flying fish cove,-10.4213,105.6744,27.24,94,100,4.63,CX,25200
73,inongo,-1.9253,18.2864,21.79,97,100,1.48,CD,3600
74,nar'yan-mar,67.638,53.0071,-1.96,82,99,6.79,RU,10800
75,gaiman,-43.2915,-65.4983,20.1,33,100,4.3,AR,-10800
76,thompson,55.7433,-97.8635,1.1,100,100,1.03,CA,-21600
77,oualidia,32.7098,-8.9626,17.63,85,0,3.22,MA,3600
78,punta arenas,-53.1626,-70.9078,7.16,81,0,4.63,CL,-10800
79,bonnyville,54.2679,-110.7415,0.15,67,12,3.38,CA,-25200
80,lihue,21.977,-159.3688,26.85,74,40,6.17,US,-36000
81,tiksi,71.6366,128.8685,-25.82,100,97,1.79,RU,32400
82,teuva,62.4869,21.742,-3.57,89,2,1.77,FI,7200
83,wanning,18.7961,110.3873,25.31,91,99,3.52,CN,28800
84,auki,-8.7706,160.6993,28.74,78,96,1.36,SB,39600
85,san antonio de pale,-1.4046,5.6326,25.27,82,100,4.04,GQ,3600
86,namibe,-15.1951,12.1458,19.4,84,100,1.96,AO,3600
87,yellowknife,62.4541,-114.3774,-2.17,100,100,2.57,CA,-25200
88,susuman,62.7797,148.1536,-17.12,91,100,1.44,RU,39600
89,nouadhibou,20.9127,-17.0503,18.96,88,5,4.63,MR,0
90,saldanha,-32.9978,17.9456,14.15,56,100,9.32,ZA,7200
91,keflavik,63.9998,-22.5565,10.24,100,100,10.8,IS,0
